name,restaurant_reference,is_live,visible,effective_tax_pct,menu_count,item_count,order_count,multi_unit_link_slug,run,converted_at_utc
Katz's Delicatessen,4cc15dd7-5b13-4808-af3b-b7862af3cbfb,false,true,8.875,1,44,1,,mass run,2026-09-09T01:23:36.112Z
Lazy Daisy Beverly Hills,ea088dbc-d45f-4709-993d-9660550db6fb,true,true,9.5,1,171,1,,mass run,2026-09-09T01:24:08.719Z
Luna Verde Vegan Mexican Restaurant,9ef76d84-4301-44d0-bd87-1a03ab6a0f5c,false,true,6.625,2,15,1,,mass run,2026-09-09T01:24:27.716Z
Mekelburg's ,f7fc4e70-57be-4414-8030-c43dda6f444f,false,false,8.875,1,114,1,,mass run,2026-09-09T01:26:02.814Z
Memphis Seoul,6a8f8d99-5102-4af6-b280-c763567aae86,false,false,8.875,1,65,1,,mass run,2026-09-09T01:26:54.754Z
Miss Ada,68cfeaac-4aac-4c1d-ae13-0ae9e29db0c3,true,true,8.875,1,62,1,,mass run,2026-09-09T01:27:12.179Z
Moonburger Brooklyn,72559a85-50ef-4293-8484-256d7ec3335a,true,true,8.875,1,27,1,,mass run,2026-09-09T01:27:36.008Z
Motorino,1654aa32-03d3-4b8c-b2ee-17599e145d89,false,true,8.875,1,13,1,,mass run,2026-09-09T01:27:55.859Z
Namkeen - Brooklyn,b42dd2c2-2b89-4bca-96b3-91de850113ec,true,true,8.875,1,36,11,namkeen,chain run,2026-09-09T11:40:03.842Z
Namkeen - Chatham,f2c77622-ba17-4724-b196-f4a8cb1bf0f4,true,true,6.625,1,36,31,namkeen,chain run,2026-09-09T11:41:32.284Z
Namkeen - Lake Hiawatha,86468e0c-0af1-41ed-898c-920d0e7b597f,true,true,6.625,1,37,6,namkeen,chain run,2026-09-09T11:40:58.991Z
Namkeen - Metuchen,cedcfda2-aec3-41f7-bb56-38876a8667ad,true,true,6.625,1,37,14,namkeen,chain run,2026-09-09T11:40:33.006Z
